id,seed,level,player_build_id,opponent_build_id,player_archetype_id,opponent_archetype_id,player_power,opponent_power,duration,winner,reason,event_count,anti_stall,barrier_absorbed,healing,summons_created,player_final_hp_percent,opponent_final_hp_percent,alerts,damage_by_source,damage_by_type,player_damage_by_source,opponent_damage_by_source,player_damage_by_type,opponent_damage_by_type,spell_casts
L16_M0060,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0060:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_15h_p12:battle_lab_character_rework_20260525:progression_save:spender_light_15h,16,PLBOT_bot_spender_light_15h_p12,PL_spender_light_15h,funeral_burst,familiar_handler,2149,2534,20.2,familiar_handler,combatant_defeated,128,false,0,0,0,0,22.85,,weapon:1814|spell:186|dot:133|pet:127,arcano:1814|fogo:226|raio:93|morte:127,weapon:777|spell:93|pet:64,weapon:1037|spell:93|dot:133|pet:63,arcano:777|raio:93|morte:64,arcano:1037|fogo:226|morte:63,descarga_nervosa:3|sussurro_medo:4|marca_brasa:3
L16_M0061,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0061:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p0,16,PLBOT_bot_free_100_rewards_15h_m12,PLBOT_bot_free_100_rewards_15h_p0,starter_instrument,elemental_mixer,1032,2230,19.7,elemental_mixer,combatant_defeated,102,false,0,0,0,0,49.51,,weapon:1493|spell:181|dot:98|pet:65,fogo:173|raio:1664,weapon:628,weapon:865|spell:181|dot:98|pet:65,raio:628,fogo:173|raio:1036,descarga_nervosa:4|marca_brasa:3
L16_M0062,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0062:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p0:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12,16,PLBOT_bot_free_100_rewards_15h_p0,PLBOT_bot_free_100_rewards_15h_m12,elemental_mixer,starter_instrument,2230,1032,19.7,elemental_mixer,combatant_defeated,101,false,0,0,0,55,0,,weapon:1426|spell:181|dot:98|pet:65,fogo:173|raio:1597,weapon:865|spell:181|dot:98|pet:65,weapon:561,fogo:173|raio:1036,raio:561,descarga_nervosa:4|marca_brasa:3
L16_M0063,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0063:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p12,16,PLBOT_bot_free_100_rewards_15h_m12,PLBOT_bot_free_100_rewards_15h_p12,starter_instrument,funeral_burst,1032,1915,24.7,funeral_burst,combatant_defeated,95,false,0,0,0,0,20.83,,weapon:1984|spell:140|pet:70,raio:2124|morte:70,weapon:972,weapon:1012|spell:140|pet:70,raio:972,raio:1152|morte:70,descarga_nervosa:5
L16_M0064,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0064:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_p12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12,16,PLBOT_bot_free_100_rewards_15h_p12,PLBOT_bot_free_100_rewards_15h_m12,funeral_burst,starter_instrument,1915,1032,24.7,funeral_burst,combatant_defeated,95,false,0,0,0,20.83,0,,weapon:1984|spell:140|pet:70,raio:2124|morte:70,weapon:1012|spell:140|pet:70,weapon:972,raio:1152|morte:70,raio:972,descarga_nervosa:5
L16_M0065,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0065:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_m12,16,PLBOT_bot_free_100_rewards_15h_m12,PLBOT_bot_freemium_basic_15h_m12,starter_instrument,starter_instrument,1032,1062,22.7,starter_instrument,combatant_defeated,49,false,0,0,0,0,28.8,,weapon:2091,arcano:1216|raio:875,weapon:875,weapon:1216,raio:875,arcano:1216,
L16_M0066,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0066:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12,16,PLBOT_bot_freemium_basic_15h_m12,PLBOT_bot_free_100_rewards_15h_m12,starter_instrument,starter_instrument,1062,1032,22.7,starter_instrument,combatant_defeated,48,false,0,0,0,31.2,0,,weapon:2061,arcano:1216|raio:845,weapon:1216,weapon:845,arcano:1216,raio:845,
L16_M0067,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0067:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_p0,16,PLBOT_bot_free_100_rewards_15h_m12,PLBOT_bot_freemium_basic_15h_p0,starter_instrument,familiar_handler,1032,2382,16.2,familiar_handler,combatant_defeated,89,false,0,0,0,0,62.08,,weapon:1449|spell:86|dot:89|pet:46,arcano:978|fogo:175|raio:471|morte:46,weapon:471,weapon:978|spell:86|dot:89|pet:46,raio:471,arcano:978|fogo:175|morte:46,sussurro_medo:4|marca_brasa:3
L16_M0068,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0068:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_p0:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12,16,PLBOT_bot_freemium_basic_15h_p0,PLBOT_bot_free_100_rewards_15h_m12,familiar_handler,starter_instrument,2382,1032,16.2,familiar_handler,combatant_defeated,89,false,0,0,0,62.08,0,,weapon:1449|spell:86|dot:89|pet:46,arcano:978|fogo:175|raio:471|morte:46,weapon:978|spell:86|dot:89|pet:46,weapon:471,arcano:978|fogo:175|morte:46,raio:471,sussurro_medo:4|marca_brasa:3
L16_M0069,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L16_M0069:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_15h_p12,16,PLBOT_bot_free_100_rewards_15h_m12,PLBOT_bot_freemium_basic_15h_p12,starter_instrument,funeral_burst,1032,2032,19.7,funeral_burst,combatant_defeated,77,false,0,0,0,0,35.99,,weapon:1890|spell:120|pet:60,arcano:1105|raio:905|morte:60,weapon:785,weapon:1105|spell:120|pet:60,raio:785,arcano:1105|raio:120|morte:60,descarga_nervosa:4
